Date,Home,Score,Away,Attendance,Venue,Result,W_Home,D_Home,L_Home,Pts_Home,Poss_Home,MP_Home,Gls_Home,Ast_Home,CrdR_Home,GlsPer90_Home,AstPer90_Home,Sh_Home,SoT_Home,SoT%_Home,Sh/90_Home,SoT/90_Home,G/Sh_Home,G/SoT_Home,GA_Home,GA90_Home,SoTA_Home,Saves_Home,Save%_Home,CS_Home,CS%_Home,W_Away,D_Away,L_Away,Pts_Away,Poss_Away,MP_Away,Gls_Away,Ast_Away,CrdR_Away,GlsPer90_Away,AstPer90_Away,Sh_Away,SoT_Away,SoT%_Away,Sh/90_Away,SoT/90_Away,G/Sh_Away,G/SoT_Away,GA_Away,GA90_Away,SoTA_Away,Saves_Away,Save%_Away,CS_Away,CS%_Away,MP_1_Home,Min_1_Home,MP_2_Home,Min_2_Home,Gls_2_Home,Ast_2_Home,GlsPer90_2_Home,AstPer90_2_Home,MP_3_Home,Min_3_Home,Gls_3_Home,Ast_3_Home,GlsPer90_3_Home,AstPer90_3_Home,MP_4_Home,Min_4_Home,Gls_4_Home,Ast_4_Home,GlsPer90_4_Home,AstPer90_4_Home,MP_5_Home,Min_5_Home,Gls_5_Home,Ast_5_Home,GlsPer90_5_Home,AstPer90_5_Home,MP_6_Home,Min_6_Home,Gls_6_Home,Ast_6_Home,GlsPer90_6_Home,AstPer90_6_Home,MP_7_Home,Min_7_Home,Gls_7_Home,Ast_7_Home,GlsPer90_7_Home,AstPer90_7_Home,MP_8_Home,Min_8_Home,Gls_8_Home,Ast_8_Home,GlsPer90_8_Home,AstPer90_8_Home,MP_9_Home,Min_9_Home,Gls_9_Home,Ast_9_Home,GlsPer90_9_Home,AstPer90_9_Home,MP_10_Home,Min_10_Home,Gls_10_Home,Ast_10_Home,GlsPer90_10_Home,AstPer90_10_Home,MP_11_Home,Min_11_Home,Gls_11_Home,Ast_11_Home,GlsPer90_11_Home,AstPer90_11_Home,MP_1_Away,Min_1_Away,MP_2_Away,Min_2_Away,Gls_2_Away,Ast_2_Away,GlsPer90_2_Away,AstPer90_2_Away,MP_3_Away,Min_3_Away,Gls_3_Away,Ast_3_Away,GlsPer90_3_Away,AstPer90_3_Away,MP_4_Away,Min_4_Away,Gls_4_Away,Ast_4_Away,GlsPer90_4_Away,AstPer90_4_Away,MP_5_Away,Min_5_Away,Gls_5_Away,Ast_5_Away,GlsPer90_5_Away,AstPer90_5_Away,MP_6_Away,Min_6_Away,Gls_6_Away,Ast_6_Away,GlsPer90_6_Away,AstPer90_6_Away,MP_7_Away,Min_7_Away,Gls_7_Away,Ast_7_Away,GlsPer90_7_Away,AstPer90_7_Away,MP_8_Away,Min_8_Away,Gls_8_Away,Ast_8_Away,GlsPer90_8_Away,AstPer90_8_Away,MP_9_Away,Min_9_Away,Gls_9_Away,Ast_9_Away,GlsPer90_9_Away,AstPer90_9_Away,MP_10_Away,Min_10_Away,Gls_10_Away,Ast_10_Away,GlsPer90_10_Away,AstPer90_10_Away,MP_11_Away,Min_11_Away,Gls_11_Away,Ast_11_Away,GlsPer90_11_Away,AstPer90_11_Away
2015-12-26,Southampton,4 - 0,Arsenal,31669,St. Mary's Stadium,W,18,9,11,63,49.2,38,58,45,0,1.53,1.18,0,165,0,0,4.34,0,0.33,41,1.08,133,92,.692,12,31.6,20,11,7,71,58.3,38,62,53,0,1.63,1.39,0,210,0,0,5.53,0,0.29,36,0.95,148,112,.757,18,47.4,17,1530,37,3166,2,1,0.06,0.03,15,1085,1,1,0.08,0.08,34,3060,3,0,0.09,0.00,32,2880,1,3,0.03,0.09,22,1538,0,0,0.00,0.00,34,2602,5,3,0.17,0.10,37,2597,11,6,0.38,0.21,30,2498,1,1,0.04,0.04,33,1545,2,4,0.12,0.23,28,2111,10,4,0.43,0.17,34,3060,24,2048,0,0,0.00,0.00,33,2845,4,0,0.13,0.00,37,3249,0,3,0.00,0.08,36,3240,1,5,0.03,0.14,35,3035,6,19,0.18,0.56,28,1373,5,2,0.33,0.13,31,2623,5,4,0.17,0.14,16,1089,0,0,0.00,0.00,19,884,3,2,0.31,0.20,38,2429,16,6,0.59,0.22
2015-12-28,Watford,1 - 2,Tottenham,20730,Vicarage Road Stadium,L,12,9,17,45,45.1,38,38,18,0,1.00,0.47,0,139,0,0,3.66,0,0.23,50,1.32,123,73,.593,11,28.9,19,13,6,70,57.4,38,68,50,0,1.79,1.32,0,250,0,0,6.58,0,0.25,35,0.92,121,86,.711,13,34.2,38,3396,24,2073,0,0,0.00,0.00,35,3034,1,0,0.03,0.00,24,1875,1,0,0.05,0.00,27,2007,0,0,0.00,0.00,28,1686,0,1,0.00,0.05,32,1974,2,0,0.09,0.00,35,2816,2,0,0.06,0.00,33,2814,0,1,0.00,0.03,38,3291,13,7,0.36,0.19,37,3146,15,3,0.43,0.09,37,3330,24,2129,1,3,0.04,0.13,38,3419,4,2,0.11,0.05,29,2594,0,0,0.00,0.00,6,459,1,1,0.20,0.20,34,2371,5,9,0.19,0.34,37,3263,3,2,0.08,0.06,29,2265,3,1,0.12,0.04,33,2470,10,9,0.36,0.33,19,515,1,0,0.17,0.00,38,3361,25,1,0.67,0.03
2015-12-28,West Brom,1 - 0,Newcastle Utd,26313,The Hawthorns,W,10,13,15,43,39.8,38,32,25,0,0.84,0.66,0,108,0,0,2.84,0,0.29,48,1.26,155,107,.690,11,28.9,9,10,19,37,46.6,38,43,34,0,1.13,0.89,0,150,0,0,3.95,0,0.27,65,1.71,178,113,.635,8,21.1,23,2070,28,2013,1,1,0.04,0.04,30,2590,1,1,0.03,0.03,22,1800,0,3,0.00,0.15,34,3060,1,0,0.03,0.00,38,3384,4,0,0.11,0.00,34,2846,0,1,0.00,0.03,18,1338,3,3,0.20,0.20,38,3374,1,3,0.03,0.08,25,1752,2,2,0.10,0.10,10,369,0,0,0.00,0.00,9,810,26,2292,1,0,0.04,0.00,23,1892,1,0,0.05,0.00,33,2923,0,0,0.00,0.00,32,2752,2,4,0.07,0.13,29,2387,1,1,0.04,0.04,38,3163,11,5,0.31,0.14,37,3217,1,7,0.03,0.20,28,2101,1,3,0.04,0.13,34,2048,6,2,0.26,0.09,34,2118,9,4,0.38,0.17
2015-12-28,Norwich City,2 - 0,Aston Villa,27071,Carrow Road,W,9,7,22,34,46.0,38,38,27,0,1.00,0.71,0,130,0,0,3.42,0,0.28,67,1.76,165,98,.594,5,13.2,3,8,27,17,46.4,38,24,19,0,0.63,0.50,0,110,0,0,2.89,0,0.20,76,2.00,186,110,.591,6,15.8,11,990,30,2698,3,0,0.10,0.00,32,2790,1,0,0.03,0.00,22,1837,0,0,0.00,0.00,21,1287,0,1,0.00,0.07,36,2951,3,4,0.09,0.12,36,2984,3,2,0.09,0.06,30,1991,4,8,0.18,0.36,35,2341,6,3,0.23,0.12,23,1949,2,0,0.09,0.00,29,1595,7,1,0.39,0.06,28,2520,24,2044,1,1,0.04,0.04,18,1442,1,0,0.06,0.00,31,2417,1,0,0.04,0.00,11,723,0,1,0.00,0.12,28,2331,0,1,0.00,0.04,35,3071,0,1,0.00,0.03,32,2717,2,2,0.07,0.07,25,1820,0,5,0.00,0.25,27,1595,2,0,0.11,0.00,30,2349,7,0,0.27,0.00
2015-12-28,Crystal Palace,0 - 0,Swansea City,23714,Selhurst Park,D,11,9,18,42,45.8,38,38,21,0,1.00,0.55,0,153,0,0,4.03,0,0.22,51,1.34,168,117,.696,8,21.1,12,11,15,47,52.5,38,41,25,0,1.08,0.66,0,135,0,0,3.55,0,0.27,52,1.37,165,113,.685,9,23.7,29,2610,30,2691,2,1,0.07,0.03,7,630,0,0,0.00,0.00,35,3150,5,1,0.14,0.03,34,3015,0,1,0.00,0.03,33,2689,5,1,0.17,0.03,34,2488,2,1,0.07,0.04,27,1540,0,0,0.00,0.00,28,2185,2,2,0.08,0.08,31,2615,2,3,0.07,0.10,10,257,0,0,0.00,0.00,37,3330,8,463,0,0,0.00,0.00,34,2947,0,1,0.00,0.03,36,3240,2,1,0.06,0.03,1,90,0,0,0.00,0.00,27,1769,0,3,0.00,0.15,16,1216,1,2,0.07,0.15,2,66,0,0,0.00,0.00,35,2546,1,2,0.04,0.07,22,791,1,2,0.11,0.23,33,1703,6,0,0.32,0.00
2015-12-28,Everton,3 - 4,Stoke City,39340,Goodison Park,L,11,14,13,47,51.9,38,56,44,0,1.47,1.16,0,174,0,0,4.58,0,0.30,55,1.45,179,124,.693,10,26.3,14,9,15,51,49.7,38,40,29,0,1.05,0.76,0,127,0,0,3.34,0,0.28,55,1.45,175,120,.686,10,26.3,25,2250,33,2779,0,0,0.00,0.00,28,2383,1,3,0.04,0.11,28,2194,4,1,0.16,0.04,15,1220,0,1,0.00,0.07,25,1456,5,4,0.31,0.25,29,2429,2,2,0.07,0.07,33,2837,0,1,0.00,0.03,26,1383,2,8,0.13,0.52,38,3075,8,8,0.23,0.23,37,3169,18,6,0.51,0.17,31,2790,35,3095,0,1,0.00,0.03,25,2184,0,3,0.00,0.12,20,1696,0,0,0.00,0.00,30,2359,0,0,0.00,0.00,31,2684,0,0,0.00,0.00,37,3166,0,1,0.00,0.03,34,2807,11,6,0.35,0.19,31,2102,2,2,0.09,0.09,27,2012,3,6,0.13,0.27,27,1697,7,1,0.37,0.05
2015-12-28,Manchester Utd,0 - 0,Chelsea,75275,Old Trafford,D,19,9,10,66,58.5,38,46,31,0,1.21,0.82,0,144,0,0,3.79,0,0.30,35,0.92,120,85,.708,18,47.4,12,14,12,50,56.2,38,55,40,0,1.45,1.05,0,172,0,0,4.53,0,0.30,53,1.40,172,119,.692,9,23.7,34,3060,35,3150,0,1,0.00,0.03,35,3114,1,1,0.03,0.03,18,1065,1,2,0.08,0.17,28,1924,1,0,0.05,0.00,38,2889,6,5,0.19,0.16,31,2632,11,4,0.38,0.14,27,1532,3,2,0.18,0.12,29,2205,1,0,0.04,0.00,18,1202,1,0,0.07,0.00,28,2406,8,6,0.30,0.22,23,2020,33,2916,2,2,0.06,0.06,23,1918,1,1,0.05,0.05,24,1988,1,0,0.05,0.00,37,3199,2,3,0.06,0.08,27,1769,3,3,0.15,0.15,31,2191,4,3,0.16,0.12,29,2033,7,3,0.31,0.13,25,1782,0,1,0.00,0.05,33,2415,2,2,0.07,0.07,35,2739,5,6,0.16,0.20
2015-12-28,West Ham,2 - 1,Southampton,34977,Boleyn Ground,W,16,14,8,62,48.4,38,64,38,0,1.68,1.00,0,186,0,0,4.89,0,0.32,51,1.34,162,111,.685,11,28.9,18,9,11,63,49.2,38,58,45,0,1.53,1.18,0,165,0,0,4.34,0,0.33,41,1.08,133,92,.692,12,31.6,32,2880,25,1961,0,0,0.00,0.00,20,1229,2,0,0.15,0.00,19,1441,0,0,0.00,0.00,28,2326,0,0,0.00,0.00,12,658,0,0,0.00,0.00,34,3007,5,2,0.15,0.06,15,788,3,0,0.34,0.00,37,3196,7,4,0.20,0.11,26,2057,8,3,0.35,0.13,19,1009,4,2,0.36,0.18,17,1530,37,3166,2,1,0.06,0.03,15,1085,1,1,0.08,0.08,34,3060,3,0,0.09,0.00,32,2880,1,3,0.03,0.09,34,2602,5,3,0.17,0.10,37,2597,11,6,0.38,0.21,34,2279,8,12,0.32,0.47,30,2498,1,1,0.04,0.04,29,1612,1,0,0.06,0.00,28,2111,10,4,0.43,0.17
2015-12-28,Arsenal,2 - 0,Bournemouth,59983,Emirates Stadium,W,20,11,7,71,58.3,38,62,53,0,1.63,1.39,0,210,0,0,5.53,0,0.29,36,0.95,148,112,.757,18,47.4,11,9,18,42,51.2,38,43,28,0,1.13,0.74,0,143,0,0,3.76,0,0.28,67,1.76,152,85,.559,7,18.4,34,3060,15,391,1,0,0.23,0.00,24,2048,0,0,0.00,0.00,21,1764,1,0,0.05,0.00,36,3240,1,5,0.03,0.14,35,3035,6,19,0.18,0.56,28,1373,5,2,0.33,0.13,22,926,1,0,0.10,0.00,31,2623,5,4,0.17,0.14,12,322,0,0,0.00,0.00,38,2429,16,6,0.59,0.22,32,2880,38,3387,0,4,0.00,0.11,36,3195,4,0,0.11,0.00,37,3285,3,5,0.08,0.14,31,2100,2,0,0.09,0.00,34,2444,3,1,0.11,0.04,38,3420,0,3,0.00,0.08,26,1337,3,2,0.20,0.13,21,1661,1,0,0.05,0.00,37,2973,4,6,0.12,0.18,31,1913,6,2,0.28,0.09
2015-12-29,Leicester City,0 - 0,Manchester City,32072,King Power Stadium,D,23,12,3,81,42.6,38,68,43,0,1.79,1.13,0,179,0,0,4.71,0,0.32,36,0.95,136,100,.735,15,39.5,19,9,10,66,56.9,38,71,53,0,1.87,1.39,0,210,0,0,5.53,0,0.31,41,1.08,125,84,.672,16,42.1,38,3420,38,3420,2,0,0.05,0.00,35,3150,3,0,0.09,0.00,30,2610,0,0,0.00,0.00,32,2711,0,4,0.00,0.13,35,3033,3,7,0.09,0.21,38,2749,2,6,0.07,0.20,37,3022,1,4,0.03,0.12,37,3034,17,11,0.50,0.33,5,194,0,0,0.00,0.00,36,3133,24,6,0.69,0.17,35,3109,28,2448,0,3,0.00,0.11,29,2283,3,3,0.12,0.12,23,2009,0,0,0.00,0.00,30,2671,1,0,0.03,0.00,31,1920,6,2,0.28,0.09,25,2002,7,9,0.31,0.40,24,1791,2,11,0.10,0.55,33,2729,2,2,0.07,0.07,32,2325,6,5,0.23,0.19,30,2360,24,2,0.92,0.08
2015-12-30,Sunderland,0 - 1,Liverpool,45765,Stadium of Light,L,9,12,17,39,41.0,38,44,30,0,1.16,0.79,0,173,0,0,4.55,0,0.24,62,1.63,213,151,.709,7,18.4,16,12,10,60,57.2,38,62,50,0,1.63,1.32,0,199,0,0,5.24,0,0.30,50,1.32,130,80,.615,11,28.9,19,1710,24,2032,1,1,0.04,0.04,33,2970,4,3,0.12,0.09,6,540,0,0,0.00,0.00,16,1229,0,3,0.00,0.22,31,2210,0,0,0.00,0.00,22,1169,1,0,0.08,0.00,26,1891,5,2,0.24,0.10,19,1148,2,5,0.16,0.39,37,3186,1,4,0.03,0.11,33,2550,15,1,0.53,0.04,34,3060,33,2970,1,0,0.03,0.00,24,1896,0,0,0.00,0.00,22,1854,1,0,0.05,0.00,32,2548,1,4,0.04,0.14,26,1996,8,5,0.36,0.23,17,1290,2,3,0.14,0.21,30,2107,4,6,0.17,0.26,30,2491,1,0,0.04,0.00,29,1529,9,3,0.53,0.18,31,1972,10,7,0.46,0.32
2016-01-02,West Ham,2 - 0,Liverpool,34977,Boleyn Ground,W,16,14,8,62,48.4,38,64,38,0,1.68,1.00,0,186,0,0,4.89,0,0.32,51,1.34,162,111,.685,11,28.9,16,12,10,60,57.2,38,62,50,0,1.63,1.32,0,199,0,0,5.24,0,0.30,50,1.32,130,80,.615,11,28.9,32,2880,37,3314,2,4,0.05,0.11,25,1961,0,0,0.00,0.00,19,1441,0,0,0.00,0.00,28,2326,0,0,0.00,0.00,34,3007,5,2,0.15,0.06,26,1910,6,2,0.28,0.09,37,3196,7,4,0.20,0.11,26,2057,8,3,0.35,0.13,27,1440,9,2,0.56,0.12,19,1009,4,2,0.36,0.18,34,3060,33,2970,1,0,0.03,0.00,24,1896,0,0,0.00,0.00,22,1854,1,0,0.05,0.00,32,2548,1,4,0.04,0.14,26,1996,8,5,0.36,0.23,27,1953,0,1,0.00,0.05,30,2491,1,0,0.04,0.00,27,1178,1,2,0.08,0.15,29,1529,9,3,0.53,0.18,31,1972,10,7,0.46,0.32
2016-01-02,Sunderland,3 - 1,Aston Villa,41535,Stadium of Light,W,9,12,17,39,41.0,38,44,30,0,1.16,0.79,0,173,0,0,4.55,0,0.24,62,1.63,213,151,.709,7,18.4,3,8,27,17,46.4,38,24,19,0,0.63,0.50,0,110,0,0,2.89,0,0.20,76,2.00,186,110,.591,6,15.8,19,1710,24,2032,1,1,0.04,0.04,33,2970,4,3,0.12,0.09,6,540,0,0,0.00,0.00,28,2009,0,0,0.00,0.00,31,2210,0,0,0.00,0.00,26,1891,5,2,0.24,0.10,19,1148,2,5,0.16,0.39,37,3186,1,4,0.03,0.11,23,919,3,1,0.29,0.10,33,2550,15,1,0.53,0.04,28,2520,24,2044,1,1,0.04,0.04,31,2417,1,0,0.04,0.00,2,180,0,0,0.00,0.00,28,2331,0,1,0.00,0.04,18,1603,0,0,0.00,0.00,35,3071,0,1,0.00,0.03,25,1820,0,5,0.00,0.25,16,833,1,0,0.11,0.00,23,1435,2,0,0.13,0.00,32,1669,5,2,0.27,0.11
2016-01-02,West Brom,2 - 1,Stoke City,23218,The Hawthorns,W,10,13,15,43,39.8,38,32,25,0,0.84,0.66,0,108,0,0,2.84,0,0.29,48,1.26,155,107,.690,11,28.9,14,9,15,51,49.7,38,40,29,0,1.05,0.76,0,127,0,0,3.34,0,0.28,55,1.45,175,120,.686,10,26.3,23,2070,30,2590,1,1,0.03,0.03,22,1800,0,3,0.00,0.15,34,3060,1,0,0.03,0.00,38,3384,4,0,0.11,0.00,34,2846,0,1,0.00,0.03,18,1338,3,3,0.20,0.20,34,2038,3,3,0.13,0.13,38,3374,1,3,0.03,0.08,25,1752,2,2,0.10,0.10,19,625,1,1,0.14,0.14,31,2790,35,3095,0,1,0.00,0.03,25,2184,0,3,0.00,0.12,20,1696,0,0,0.00,0.00,30,2359,0,0,0.00,0.00,31,2684,0,0,0.00,0.00,37,3166,0,1,0.00,0.03,34,2807,11,6,0.35,0.19,31,2102,2,2,0.09,0.09,27,2012,3,6,0.13,0.27,27,1697,7,1,0.37,0.05
2016-01-02,Norwich City,1 - 0,Southampton,27022,Carrow Road,W,9,7,22,34,46.0,38,38,27,0,1.00,0.71,0,130,0,0,3.42,0,0.28,67,1.76,165,98,.594,5,13.2,18,9,11,63,49.2,38,58,45,0,1.53,1.18,0,165,0,0,4.34,0,0.33,41,1.08,133,92,.692,12,31.6,11,990,30,2698,3,0,0.10,0.00,32,2790,1,0,0.03,0.00,22,1837,0,0,0.00,0.00,36,2951,3,4,0.09,0.12,36,2984,3,2,0.09,0.06,30,1991,4,8,0.18,0.36,35,2341,6,3,0.23,0.12,23,1949,2,0,0.09,0.00,27,1756,0,0,0.00,0.00,29,1595,7,1,0.39,0.06,17,1530,37,3166,2,1,0.06,0.03,15,1085,1,1,0.08,0.08,34,3060,3,0,0.09,0.00,32,2880,1,3,0.03,0.09,22,1538,0,0,0.00,0.00,34,2602,5,3,0.17,0.10,34,2279,8,12,0.32,0.47,30,2498,1,1,0.04,0.04,33,1545,2,4,0.12,0.23,28,2111,10,4,0.43,0.17
2016-01-02,Manchester Utd,2 - 1,Swansea City,75415,Old Trafford,W,19,9,10,66,58.5,38,46,31,0,1.21,0.82,0,144,0,0,3.79,0,0.30,35,0.92,120,85,.708,18,47.4,12,11,15,47,52.5,38,41,25,0,1.08,0.66,0,135,0,0,3.55,0,0.27,52,1.37,165,113,.685,9,23.7,34,3060,10,530,0,0,0.00,0.00,35,3150,0,1,0.00,0.03,35,3114,1,1,0.03,0.03,18,1065,1,2,0.08,0.17,38,2889,6,5,0.19,0.16,31,2632,11,4,0.38,0.14,27,1532,3,2,0.18,0.12,29,2205,1,0,0.04,0.00,18,1202,1,0,0.07,0.00,28,2406,8,6,0.30,0.22,37,3330,34,2947,0,1,0.00,0.03,36,3240,2,1,0.06,0.03,23,1820,0,0,0.00,0.00,32,2880,1,1,0.03,0.03,28,1850,2,1,0.10,0.05,25,1520,0,0,0.00,0.00,34,2925,12,2,0.37,0.06,28,1672,2,1,0.11,0.05,36,2914,11,3,0.34,0.09,35,2546,1,2,0.04,0.07
2016-01-02,Arsenal,1 - 0,Newcastle Utd,59257,Emirates Stadium,W,20,11,7,71,58.3,38,62,53,0,1.63,1.39,0,210,0,0,5.53,0,0.29,36,0.95,148,112,.757,18,47.4,9,10,19,37,46.6,38,43,34,0,1.13,0.89,0,150,0,0,3.95,0,0.27,65,1.71,178,113,.635,8,21.1,34,3060,24,2048,0,0,0.00,0.00,33,2845,4,0,0.13,0.00,37,3249,0,3,0.00,0.08,36,3240,1,5,0.03,0.14,35,3035,6,19,0.18,0.56,28,1373,5,2,0.33,0.13,22,926,1,0,0.10,0.00,31,2623,5,4,0.17,0.14,16,1089,0,0,0.00,0.00,38,2429,16,6,0.59,0.22,21,1890,26,2292,1,0,0.04,0.00,23,1892,1,0,0.05,0.00,33,2923,0,0,0.00,0.00,32,2752,2,4,0.07,0.13,29,2387,1,1,0.04,0.04,38,3163,11,5,0.31,0.14,37,3217,1,7,0.03,0.20,34,2048,6,2,0.26,0.09,20,1220,0,0,0.00,0.00,34,2118,9,4,0.38,0.17
2016-01-02,Leicester City,0 - 0,Bournemouth,32006,King Power Stadium,D,23,12,3,81,42.6,38,68,43,0,1.79,1.13,0,179,0,0,4.71,0,0.32,36,0.95,136,100,.735,15,39.5,11,9,18,42,51.2,38,43,28,0,1.13,0.74,0,143,0,0,3.76,0,0.28,67,1.76,152,85,.559,7,18.4,38,3420,38,3420,2,0,0.05,0.00,35,3150,3,0,0.09,0.00,30,2610,0,0,0.00,0.00,32,2711,0,4,0.00,0.13,35,3033,3,7,0.09,0.21,38,2749,2,6,0.07,0.20,37,3022,1,4,0.03,0.12,37,3034,17,11,0.50,0.33,36,3133,24,6,0.69,0.17,29,984,6,1,0.55,0.09,32,2880,38,3387,0,4,0.00,0.11,36,3195,4,0,0.11,0.00,37,3285,3,5,0.08,0.14,31,2100,2,0,0.09,0.00,34,2444,3,1,0.11,0.04,38,3420,0,3,0.00,0.08,21,1661,1,0,0.05,0.00,21,1435,3,2,0.19,0.13,37,2973,4,6,0.12,0.18,31,1913,6,2,0.28,0.09
2016-01-02,Watford,1 - 2,Manchester City,20676,Vicarage Road Stadium,L,12,9,17,45,45.1,38,38,18,0,1.00,0.47,0,139,0,0,3.66,0,0.23,50,1.32,123,73,.593,11,28.9,19,9,10,66,56.9,38,71,53,0,1.87,1.39,0,210,0,0,5.53,0,0.31,41,1.08,125,84,.672,16,42.1,38,3396,32,2469,0,1,0.00,0.04,24,2073,0,0,0.00,0.00,35,3034,1,0,0.03,0.00,11,945,1,0,0.10,0.00,27,2007,0,0,0.00,0.00,32,1974,2,0,0.09,0.00,35,2816,2,0,0.06,0.00,33,2814,0,1,0.00,0.03,38,3291,13,7,0.36,0.19,37,3146,15,3,0.43,0.09,35,3109,28,2448,0,3,0.00,0.11,29,2283,3,3,0.12,0.12,23,2009,0,0,0.00,0.00,30,2671,1,0,0.03,0.00,31,1920,6,2,0.28,0.09,25,2002,7,9,0.31,0.40,24,1791,2,11,0.10,0.55,33,2729,2,2,0.07,0.07,32,2325,6,5,0.23,0.19,30,2360,24,2,0.92,0.08
2016-01-03,Crystal Palace,0 - 3,Chelsea,24854,Selhurst Park,L,11,9,18,42,45.8,38,38,21,0,1.00,0.55,0,153,0,0,4.03,0,0.22,51,1.34,168,117,.696,8,21.1,12,14,12,50,56.2,38,55,40,0,1.45,1.05,0,172,0,0,4.53,0,0.30,53,1.40,172,119,.692,9,23.7,29,2610,30,2691,2,1,0.07,0.03,35,3150,5,1,0.14,0.03,34,3015,0,1,0.00,0.03,32,2880,2,3,0.06,0.09,34,2488,2,1,0.07,0.04,13,390,1,0,0.23,0.00,27,1540,0,0,0.00,0.00,28,2185,2,2,0.08,0.08,31,2615,2,3,0.07,0.10,11,362,0,0,0.00,0.00,23,2020,33,2916,2,2,0.06,0.06,23,1918,1,1,0.05,0.05,24,1988,1,0,0.05,0.00,37,3199,2,3,0.06,0.08,37,2895,5,7,0.16,0.22,27,1769,3,3,0.15,0.15,31,2191,4,3,0.16,0.12,25,1782,0,1,0.00,0.05,35,2739,5,6,0.16,0.20,28,2373,12,6,0.46,0.23
2016-01-03,Everton,1 - 1,Tottenham,38482,Goodison Park,D,11,14,13,47,51.9,38,56,44,0,1.47,1.16,0,174,0,0,4.58,0,0.30,55,1.45,179,124,.693,10,26.3,19,13,6,70,57.4,38,68,50,0,1.79,1.32,0,250,0,0,6.58,0,0.25,35,0.92,121,86,.711,13,34.2,25,2250,18,1479,2,1,0.12,0.06,33,2779,0,0,0.00,0.00,28,2383,1,3,0.04,0.11,28,2194,4,1,0.16,0.04,25,1456,5,4,0.31,0.25,25,1538,5,0,0.29,0.00,22,1612,2,4,0.11,0.22,33,2837,0,1,0.00,0.03,38,3075,8,8,0.23,0.23,37,3169,18,6,0.51,0.17,37,3330,33,2941,1,3,0.03,0.09,38,3419,4,2,0.11,0.05,29,2594,0,0,0.00,0.00,17,1291,0,2,0.00,0.14,34,2371,5,9,0.19,0.34,37,3263,3,2,0.08,0.06,33,2470,10,9,0.36,0.33,35,2933,6,13,0.18,0.40,19,515,1,0,0.17,0.00,38,3361,25,1,0.67,0.03
2016-01-12,Bournemouth,1 - 3,West Ham,11071,Vitality Stadium,L,11,9,18,42,51.2,38,43,28,0,1.13,0.74,0,143,0,0,3.76,0,0.28,67,1.76,152,85,.559,7,18.4,16,14,8,62,48.4,38,64,38,0,1.68,1.00,0,186,0,0,4.89,0,0.32,51,1.34,162,111,.685,11,28.9,32,2880,38,3387,0,4,0.00,0.11,36,3195,4,0,0.11,0.00,37,3285,3,5,0.08,0.14,31,2100,2,0,0.09,0.00,34,2444,3,1,0.11,0.04,38,3420,0,3,0.00,0.08,21,1661,1,0,0.05,0.00,21,1435,3,2,0.19,0.13,37,2973,4,6,0.12,0.18,15,930,4,0,0.39,0.00,32,2880,37,3314,2,4,0.05,0.11,25,1961,0,0,0.00,0.00,19,1441,0,0,0.00,0.00,28,2326,0,0,0.00,0.00,24,1088,0,1,0.00,0.08,37,3196,7,4,0.20,0.11,26,2057,8,3,0.35,0.13,27,1440,9,2,0.56,0.12,19,1009,4,2,0.36,0.18,30,2568,9,12,0.32,0.42
2016-01-12,Aston Villa,1 - 0,Crystal Palace,28245,Villa Park,W,3,8,27,17,46.4,38,24,19,0,0.63,0.50,0,110,0,0,2.89,0,0.20,76,2.00,186,110,.591,6,15.8,11,9,18,42,45.8,38,38,21,0,1.00,0.55,0,153,0,0,4.03,0,0.22,51,1.34,168,117,.696,8,21.1,10,900,12,1080,0,0,0.00,0.00,31,2417,1,0,0.04,0.00,18,1603,0,0,0.00,0.00,35,3071,0,1,0.00,0.03,32,2717,2,2,0.07,0.07,25,1820,0,5,0.00,0.25,30,2349,7,0,0.27,0.00,23,1435,2,0,0.13,0.00,4,258,0,0,0.00,0.00,29,2610,2,180,0,0,0.00,0.00,30,2691,2,1,0.07,0.03,35,3150,5,1,0.14,0.03,34,3015,0,1,0.00,0.03,32,2880,2,3,0.06,0.09,33,2689,5,1,0.17,0.03,34,2488,2,1,0.07,0.04,28,2185,2,2,0.08,0.08,20,1069,2,1,0.17,0.08,19,981,1,0,0.09,0.00,31,2615,2,3,0.07,0.10
2016-01-12,Newcastle Utd,3 - 3,Manchester Utd,49673,St. James' Park,D,9,10,19,37,46.6,38,43,34,0,1.13,0.89,0,150,0,0,3.95,0,0.27,65,1.71,178,113,.635,8,21.1,19,9,10,66,58.5,38,46,31,0,1.21,0.82,0,144,0,0,3.79,0,0.30,35,0.92,120,85,.708,18,47.4,21,1890,26,2292,1,0,0.04,0.00,23,1892,1,0,0.05,0.00,33,2923,0,0,0.00,0.00,32,2752,2,4,0.07,0.13,29,2387,1,1,0.04,0.04,38,3163,11,5,0.31,0.14,37,3217,1,7,0.03,0.20,34,2048,6,2,0.26,0.09,20,1220,0,0,0.00,0.00,34,2118,9,4,0.38,0.17,34,3060,35,3150,0,1,0.00,0.03,35,3114,1,1,0.03,0.03,18,1065,1,2,0.08,0.17,28,1924,1,0,0.05,0.00,31,2632,11,4,0.38,0.14,25,1632,4,1,0.22,0.06,27,1532,3,2,0.18,0.12,18,1068,1,0,0.08,0.00,29,2205,1,0,0.04,0.00,28,2406,8,6,0.30,0.22
